Logger:         	Automatically truncated logfile to 1048576
UpdateHandler, AdalinHolin:  	Parsing updates (updates) received via the socket...
SeqLoop, AdalinHolin:        	Was fed updates of type updates...
FeedLoop, AdalinHolin:       	Resumed update feed loop channel 1364982928
UpdateHandler, AdalinHolin:  	Parsing updates (updates) received via the socket...
SeqLoop, AdalinHolin:        	Was fed updates of type updates...
FeedLoop, AdalinHolin:       	Resumed update feed loop channel 1747638606
UpdateHandler, AdalinHolin:  	Parsing updates (updates) received via the socket...
SeqLoop, AdalinHolin:        	Was fed updates of type updates...
FeedLoop, AdalinHolin:       	Resumed update feed loop channel 1467283006
UpdateHandler, AdalinHolin:  	Parsing updates (updates) received via the socket...
SeqLoop, AdalinHolin:        	Was fed updates of type updates...
FeedLoop, AdalinHolin:       	Resumed update feed loop channel 1467283006
UpdateHandler, AdalinHolin:  	Parsing updates (updates) received via the socket...
SeqLoop, AdalinHolin:        	Was fed updates of type updates...
FeedLoop, AdalinHolin:       	Resumed update feed loop channel 1388470220
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1364982928
PeerHandler:    	Only have min peer for 1815403361 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer 1815403361, this may fail
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1747638606
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1467283006
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1467283006
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1388470220
UpdateHandler, apolon999:  	Parsing updates (updates) received via the socket...
SeqLoop, apolon999:        	Was fed updates of type updates...
FeedLoop, apolon999:       	Resumed update feed loop channel 1364982928
PeerHandler, apolon999:    	Only have min peer for 1815403361 in database, trying to fetch full info
MinDatabase, apolon999:    	Don't have origin info with min peer 1815403361, this may fail
PeerHandler:    	Only have min peer for 1815403361 in database, trying to fetch full info
SeqLoop, apolon999:        	Was fed updates of type updates...
FeedLoop, apolon999:       	Resumed update feed loop channel 1747638606
y fail
UpdateHandler, apolon999:  	Parsing updates (updates) received via the socket...
SeqLoop, apolon999:        	Was fed updates of type updates...
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop, apolon999:       	Resumed update feed loop channel 1467283006
FeedLoop:       	Resumed update feed loop channel 1364982928
UpdateHandler, apolon999:  	Parsing updates (updates) received via the socket...
UpdateHandler, poligraffff:  	Parsing updates (updates) received via the socket...
SeqLoop, poligraffff:        	Was fed updates of type updates...
FeedLoop, apolon999:       	Resumed update feed loop channel 1467283006
FeedLoop, poligraffff:       	Resumed update feed loop channel 1364982928
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1467283006
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
UpdateHandler, apolon999:  	Parsing updates (updates) received via the socket...
SeqLoop, apolon999:        	Was fed updates of type updates...
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop, apolon999:       	Resumed update feed loop channel 1388470220
FeedLoop:       	Resumed update feed loop channel 1388470220
PeerHandler, poligraffff:    	Only have min peer for 1815403361 in database, trying to fetch full info
MinDatabase, poligraffff:    	Don't have origin info with min peer 1815403361, this may fail
UpdateHandler, poligraffff:  	Parsing updates (updates) received via the socket...
SeqLoop, poligraffff:        	Was fed updates of type updates...
FeedLoop, poligraffff:       	Resumed update feed loop channel 1747638606
UpdateHandler, poligraffff:  	Parsing updates (updates) received via the socket...
SeqLoop, poligraffff:        	Was fed updates of type updates...
FeedLoop, poligraffff:       	Resumed update feed loop channel 1467283006
UpdateHandler, poligraffff:  	Parsing updates (updates) received via the socket...
SeqLoop, poligraffff:        	Was fed updates of type updates...
FeedLoop, poligraffff:       	Resumed update feed loop channel 1467283006
UpdateHandler, poligraffff:  	Parsing updates (updates) received via the socket...
SeqLoop, poligraffff:        	Was fed updates of type updates...
FeedLoop, poligraffff:       	Resumed update feed loop channel 1388470220
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1364982928
PeerHandler:    	Only have min peer for 1815403361 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer 1815403361, this may fail
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1747638606
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1467283006
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1467283006
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1388470220
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1169378196
Session, apolon999:        	Garbage collected 5 incoming messages, 0 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28367 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 1 outgoing messages, 2 left
Session, AdalinHolin:        	Garbage collected 5 incoming messages, 0 left
Session, AdalinHolin:        	Garbage collected 1 outgoing messages, 1 left
Session:        	Garbage collected 6 incoming messages, 0 left
Session:        	Garbage collected 2 outgoing messages, 0 left
UpdateHandler, albertmood:  	Parsing updates (updates) received via the socket...
SeqLoop, albertmood:        	Was fed updates of type updates...
FeedLoop, albertmood:       	Resumed update feed loop channel 1364982928
Session:        	Garbage collected 7 incoming messages, 0 left
Session:        	Garbage collected 2 outgoing messages, 0 left
Session, albertmood:        	Garbage collected 1 incoming messages, 0 left

Session, poligraffff:        	Garbage collected 2 outgoing messages, 0 left
Session:        	Garbage collected 5 incoming messages, 0 left
Session:        	Garbage collected 2 outgoing messages, 0 left
Session, apolon999:        	Garbage collected 1 incoming messages, 0 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28368 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 1 outgoing messages, 1 left
Session, AdalinHolin:        	Garbage collected 1 incoming messages, 0 left
Session, AdalinHolin:        	Garbage collected 1 outgoing messages, 0 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28369 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28370 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28371 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28372 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28373 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
UpdateHandler, albertmood:  	Parsing updates (updates) received via the socket...
SeqLoop, albertmood:        	Was fed updates of type updates...
FeedLoop, albertmood:       	Resumed update feed loop channel 1326094773
Session, albertmood:        	Garbage collected 1 incoming messages, 0 left
UpdateHandler, albertmood:  	Parsing updates (updates) received via the socket...
SeqLoop, albertmood:        	Was fed updates of type updates...
FeedLoop, albertmood:       	Resumed update feed loop channel 1180333447
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28374 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
Session, albertmood:        	Garbage collected 1 incoming messages, 0 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28375 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
MsgIdHandler64: 	Given message id (7053522690461531137) is lower than or equal to the current limit (7053522690461543425). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1326094773
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1180333447
